,Title,Year of release,Runtime (mins),Genres,Platform
1230,Kabhi Kabhie,1976,172 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1231,Krrish,2006,173 min,"Action/Adventure: Superheroes, Bollywood: Action/Adventure, Bollywood: Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian",AmazonPrime
1232,Baadshahi Aangti,2014,74 min,"Thriller: Mystery, Thriller, World Cinema: Indian",AmazonPrime
1233,The Ghost and the Darkness,1996,109 min,"Action/Adventure: Historical, Action/Adventure: Thriller, Drama: Historical, Drama: Thriller",AmazonPrime
1234,Stri,1995,92 min,"Drama, World Cinema: Indian",AmazonPrime
1235,Prem Mhanje Prem Mhanje Prem Asta,2013,136 min,"Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1236,Prathinidhi,2014,118 min,"Drama: Political, Drama: Thriller, World Cinema: Indian",AmazonPrime
1237,Zenda,2009,116 min,"Drama: Biography, Drama: Political, World Cinema: Indian",AmazonPrime
1238,Final Destination,2000,98 min,"Horror: Thriller, Thriller: Horror, Thriller: Psychological, Thriller: Supernatural",AmazonPrime
1239,Analyze This,1999,103 min,"Comedy, Comedy: Crime",AmazonPrime
1240,The Perfect Storm,2000,129 min,"Action/Adventure: Thriller, Drama: Thriller",AmazonPrime
1241,U.S. Marshals,1998,131 min,Action/Adventure: Espionage & Spies,AmazonPrime
1242,Interview With the Vampire: The Vampire Chronicles,1994,122 min,"Drama: Period, Horror: Vampires, Sci-Fi/Fantasy: Horror",AmazonPrime
1243,Jeans,1998,166 min,"Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1244,Jackie Chan’s First Strike,1997,83 min,"Action/Adventure: Espionage & Spies, Action/Adventure: Martial Arts, Comedy: Action/Adventure",AmazonPrime
1245,Stardust,2007,127 min,Action/Adventure: Sci-fi/Fantasy,AmazonPrime
1246,Roga Howar Shohoj Upaay,2015,116 min,"Drama, World Cinema: Indian",AmazonPrime
1247,The Addams Family,1991,99 min,"Comedy, Comedy: Slapstick, Family: Comedy",AmazonPrime
1248,Jekhanay Bhooter Bhoy,2012,96 min,"Drama: Mystery, Drama: Thriller, World Cinema: Indian",AmazonPrime
1249,Cinemawala,2016,100 min,"Drama, World Cinema: Indian",AmazonPrime
1250,Raghuvaran Btech,2014,130 min,"Drama: Comedy, Drama: Romance, World Cinema: Indian",AmazonPrime
1251,Grease,1978,110 min,"Comedy, Music/Musical: Musical, Music/Musical: Music – Rock/Pop, Romance",AmazonPrime
1252,Adavi Kachina Vennela,2014,128 min,"Drama, Drama: Thriller, World Cinema: Indian",AmazonPrime
1253,Something’s Gotta Give (2003),2004,128 min,Comedy: Romance,AmazonPrime
1254,Khamoshiyan,2015,117 min,"Bollywood: Horror, Horror: Ghosts/Supernatural, World Cinema: Indian",AmazonPrime
1255,Ki Kore Toke Bolbo,2016,149 min,"Drama, Romance, World Cinema: Indian",AmazonPrime
1256,Popat,2013,153 min,"Drama, World Cinema: Indian",AmazonPrime
1257,Anukshanam,2014,82 min,"Horror: Slasher, Thriller: Crime, World Cinema: Indian",AmazonPrime
1258,Haapus,2010,132 min,"Comedy: Drama, Drama: Comedy, World Cinema: Indian",AmazonPrime
1259,Meet the Parents,2000,107 min,"Comedy: Drama, Drama: Comedy",AmazonPrime
1260,Sanai Choughade,2008,123 min,"Drama: Romance, World Cinema: Indian",AmazonPrime
1261,Star Trek I: The Motion Picture,1979,131 min,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien",AmazonPrime
1262,Rumble In The Bronx,1996,89 min,"Action/Adventure: Martial Arts, Comedy: Action/Adventure",AmazonPrime
1263,Oohalu Gusagusalade,2014,130 min,"Drama: Comedy, Romance: Drama, World Cinema: Indian",AmazonPrime
1264,Chander Pahar,2013,150 min,"Action/Adventure, Drama, Drama: Thriller, World Cinema: Indian",AmazonPrime
1265,Tumsa Nahin Dekha,2004,127 min,"Bollywood, Bollywood: Drama, Bollywood: Romance, Drama, Drama: Bollywood, Romance, World Cinema: Indian",AmazonPrime
1266,Rajkahini,2015,159 min,"Drama, Drama: Period, Drama: Political, World Cinema: Indian",AmazonPrime
1267,Finding Neverland,2004,101 min,"Drama, Drama: Biography, Drama: Plays/Performance, Family",AmazonPrime
1268,Chandni,1989,179 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1269,Collateral Damage,2002,108 min,"Action/Adventure, Action/Adventure: Crime",AmazonPrime
1270,Ra Ra Krishnayya,2013,137 min,"Comedy: Drama, Comedy: Romance, World Cinema: Indian",AmazonPrime
1271,Sphere,1998,134 min,"Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Thriller, Thriller: Mystery, Thriller: Sci-Fi/Fantasy",AmazonPrime
1272,Paying Guests,2009,112 min,"Bollywood: Comedy, Comedy: Drama, World Cinema: Indian",AmazonPrime
1273,Amistad,1997,154 min,"Drama, Drama: Historical, Drama: Political",AmazonPrime
1274,Keanu,2016,99 min,Comedy: Action/Adventure,AmazonPrime
1275,Goynar Baksho,2013,139 min,"Comedy, Comedy: Horror, World Cinema: Indian",AmazonPrime
1276,Rock On,2008,143 min,"Bollywood: Drama, Drama: Bollywood, Music/Musical: Music – Rock/Pop, World Cinema: Indian",AmazonPrime
1277,Clue,1985,96 min,"Comedy, Comedy: Crime, Comedy: Mystery",AmazonPrime
1278,Paathshala,2014,127 min,"Drama: Comedy, Drama: Romance, World Cinema: Indian",AmazonPrime
1279,Yanda Kartavya Aahe,2006,150 min,"Drama: Comedy, Drama: Romance, World Cinema: Indian",AmazonPrime
1280,Freddy vs. Jason,2003,97 min,"Horror: Slasher, Horror: Thriller, Thriller: Horror",AmazonPrime
1281,Kaho Naa Pyar Hai,2000,165 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Crime, Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1282,Ice Cream,2014,95 min,"Thriller: Horror, Thriller: Mystery, Thriller: Psychological, World Cinema: Indian",AmazonPrime
1283,Shudhu Tomari Jonyo,2015,142 min,"Drama, Romance, World Cinema: Indian",AmazonPrime
1284,Kaalo,2010,80 min,"Bollywood: Horror, Horror: Ghosts/Supernatural, World Cinema: Indian",AmazonPrime
1285,Royal Bengal Rahasya,2011,102 min,"Action/Adventure: Thriller, Thriller: Mystery, World Cinema: Indian",AmazonPrime
1286,Minsarakanvau,1997,152 min,"Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1287,The Green Mile,1999,188 min,"Drama: Crime, Drama: Historical",AmazonPrime
1288,Star Trek X: Nemesis,2002,116 min,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien",AmazonPrime
1289,Five Star,2002,134 min,"Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1290,Kannathil Muthamittal,2002,136 min,"Drama, Drama: Family, Drama: Political, World Cinema: Indian",AmazonPrime
1291,Hemlock Society,2012,135 min,"Comedy, Comedy: Drama, World Cinema: Indian",AmazonPrime
1292,Masters of the Universe,1987,105 min,"Action/Adventure: Sci-fi/Fantasy, Action/Adventure: Superheroes, Sci-Fi/Fantasy: Action/Adventure",AmazonPrime
1293,Paisa,2014,137 min,"Comedy: Crime, Comedy: Drama, World Cinema: Indian",AmazonPrime
1294,Singh Is King,2008,130 min,"Bollywood: Comedy, Comedy: Drama, World Cinema: Indian",AmazonPrime
1295,Bombay,1995,140 min,"Drama: Crime, Drama: Political, Drama: Romance, World Cinema: Indian",AmazonPrime
1296,Okkadine,2013,132 min,"Drama: Crime, Drama: Mystery, World Cinema: Indian",AmazonPrime
1297,Daddy’s Home,2015,96 min,Comedy,AmazonPrime
1298,Snakes on a Plane,2006,105 min,"Action/Adventure: Crime, Action/Adventure: Thriller, Thriller: Action/Adventure",AmazonPrime
1299,Mortal Kombat 2: Annihilation,1997,94 min,"Action/Adventure: Martial Arts, Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure",AmazonPrime
1300,Dahavi Fa,2002,142 min,"Drama, World Cinema: Indian",AmazonPrime
1301,Half Ticket,1962,119 min,"Bollywood: Comedy, Comedy: Drama, World Cinema: Indian",AmazonPrime
1302,Venky,2004,168 min,"Comedy: Drama, Drama: Comedy, Drama: Crime, Drama: Romance, World Cinema: Indian",AmazonPrime
1303,Oka Laila kosam,2014,145 min,"Drama: Romance, World Cinema: Indian",AmazonPrime
1304,Mashooka,2005,102 min,"Bollywood: Drama, Drama: Bollywood, Drama: Crime, Drama: Romance, World Cinema: Indian",AmazonPrime
1305,The Yakuza,1975,112 min,"Action/Adventure: Crime, Drama: Crime",AmazonPrime
1306,The Glimmer Man,1996,91 min,Action/Adventure: Crime,AmazonPrime
1307,The Pelican Brief,1993,141 min,"Drama: Crime, Drama: Mystery, Drama: Thriller",AmazonPrime
1308,Red Eye,2005,85 min,"Drama: Crime, Drama: Thriller, Thriller: Crime, Thriller: Drama",AmazonPrime
1309,Kasethan Kadavulada,1972,135 min,"Drama: Comedy, World Cinema: Indian",AmazonPrime
1310,Honeymoon Travels Pvt Ltd,2007,118 min,"Bollywood: Comedy, Bollywood: Drama, Comedy: Romance, Drama: Bollywood, Drama: Comedy, Drama: Romance, World Cinema: Indian",AmazonPrime
1311,Mortal Kombat,1995,101 min,"Action/Adventure: Martial Arts, Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure",AmazonPrime
1312,Eagle Eye,2008,117 min,"Thriller: Action/Adventure, Thriller: Drama, Thriller: Mystery",AmazonPrime
1313,Maryan,2013,122 min,"Drama: Thriller, Thriller: Action/Adventure, World Cinema: Indian",AmazonPrime
1314,Power,2016,156 min,"Drama, Drama: Comedy, Drama: Crime, Drama: Romance, World Cinema: Indian",AmazonPrime
1315,Fire with Fire,1986,103 min,"Drama: Romance, Romance: Drama",AmazonPrime
1316,Aadu Magaadra Bujji,2016,140 min,"Drama, Drama: Romance, World Cinema: Indian",AmazonPrime
1317,Deool,2011,139 min,"Drama: Political, World Cinema: Indian",AmazonPrime
1318,Tamanna,1998,126 min,"Bollywood, Bollywood: Drama, Drama, Drama: Bollywood, World Cinema: Indian",AmazonPrime
1319,Samsaram Adhu Minsaram,1986,138 min,"Drama, World Cinema: Indian",AmazonPrime
1320,Mad Max,1979,89 min,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Thriller",AmazonPrime
1321,Yamala Pagla Deewana,2011,152 min,"Bollywood: Comedy, Bollywood: Drama, Comedy: Drama, Drama: Bollywood, Drama: Comedy, World Cinema: Indian",AmazonPrime
1322,Saatchya Aat Gharat,2004,145 min,"Drama: Political, World Cinema: Indian",AmazonPrime
1323,Ramgarh Ke Sholay,1991,124 min,"Bollywood: Comedy, Comedy: Crime, Comedy: Spoof, World Cinema: Indian",AmazonPrime
1324,Karthikeya,2014,114 min,"Drama: Mystery, Drama: Thriller, World Cinema: Indian",AmazonPrime
1325,Dum Dum Dum,2001,153 min,"Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1326,Krishnam Vande Jagadgurum,2012,139 min,"Drama: Crime, Drama: Plays/Performance, Drama: Political, World Cinema: Indian",AmazonPrime
1327,Agantuk,1992,119 min,"Drama: Family, World Cinema: Indian",AmazonPrime
1328,Red Planet,2000,106 min,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Thriller",AmazonPrime
1329,Apur Panchali,2014,96 min,"Drama, Drama: Biography, Drama: Historical, Drama: Period, World Cinema: Indian",AmazonPrime
1330,Peechha Karro,1986,114 min,"Bollywood: Comedy, Comedy: Drama, World Cinema: Indian",AmazonPrime
1331,Iti Mrinalini,2010,125 min,"Drama, World Cinema: Indian",AmazonPrime
1332,Paradesi,2013,119 min,"Drama: Historical, World Cinema: Indian",AmazonPrime
1333,Tukaram,2012,162 min,"Drama: Biography, Drama: Historical, Mythology, World Cinema: Indian",AmazonPrime
1334,Raaz 3,2012,139 min,"Bollywood, Bollywood: Horror, Bollywood: Thriller, Horror, Horror: Thriller, Thriller, Thriller: Horror, World Cinema: Indian",AmazonPrime
1335,Humko Deewana Kar Gaye,2006,148 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1336,Surya Vs Surya,2015,127 min,"Drama: Comedy, Drama: Romance, World Cinema: Indian",AmazonPrime
1337,Lakshmi Raave Maa Intiki,2014,150 min,"Drama: Comedy, Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1338,Gentleman,1993,160 min,"Action/Adventure: Crime, Drama: Crime, Drama: Romance, World Cinema: Indian",AmazonPrime
1339,Tango & Cash,1989,103 min,Action/Adventure,AmazonPrime
1340,Lady Chatterley’s Lover,1982,104 min,"Drama: Romance, Romance: Drama",AmazonPrime
1341,Valu,2008,121 min,"Comedy: Drama, World Cinema: Indian",AmazonPrime
1342,Bloodsport,1988,92 min,"Action/Adventure: Martial Arts, Drama, Drama: Biography, Sport: Martial Arts",AmazonPrime
1343,Nirbaak,2015,105 min,"Drama, World Cinema: Indian",AmazonPrime
1344,Gandhi,1982,188 min,"Drama: Biography, Drama: Historical, Drama: Political, World Cinema: Indian",AmazonPrime
1345,Thiruda Thiruda,1993,170 min,"Comedy: Action/Adventure, World Cinema: Indian",AmazonPrime
1346,Matichya Chuli,2006,132 min,"Comedy: Drama, Drama: Comedy, World Cinema: Indian",AmazonPrime
1347,School of Rock,2003,109 min,"Comedy: Musical, Music/Musical: Music – Rock/Pop",AmazonPrime
1348,Chotoder Chobi,2014,108 min,"Drama, World Cinema: Indian",AmazonPrime
1349,Shikshanachya Aaicha Gho,2010,103 min,"Drama, World Cinema: Indian",AmazonPrime
1350,Eraser,1996,114 min,"Action/Adventure, Action/Adventure: Thriller",AmazonPrime
1351,Bangali Babu English Mem,2014,139 min,"Comedy, Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1352,Enter the Dragon (1973),1973,102 min,Action/Adventure: Martial Arts,AmazonPrime
1353,Uyire,1998,165 min,"Romance: Thriller, World Cinema: Indian",AmazonPrime
1354,Andala Rakshasi,2012,145 min,"Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1355,Forget Paris,1995,101 min,"Comedy: Drama, Comedy: Romance",AmazonPrime
1356,Rowdy,2014,114 min,"Drama: Crime, World Cinema: Indian",AmazonPrime
1357,Child’s Play,1973,99 min,"Drama: Mystery, Horror, Horror: Ghosts/Supernatural, Thriller: Mystery",AmazonPrime
1358,Tim Burton’s Corpse Bride,2005,77 min,"Horror, Comedy: Romance, Drama: Romance, Drama: Mystery, Thriller",AmazonPrime
1359,Star Trek VI: The Undiscovered Country,1991,109 min,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien",AmazonPrime
1360,The Informant!,2009,108 min,"Comedy: Crime, Comedy: Drama, Drama: Historical",AmazonPrime
1361,Aajcha Divas Majha,2013,126 min,"Drama: Political, World Cinema: Indian",AmazonPrime
1362,Star Trek II: The Wrath of Khan,1982,113 min,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien",AmazonPrime
1363,Amanush 2,2015,137 min,"Drama: Crime, Thriller: Drama, World Cinema: Indian",AmazonPrime
1364,Zulu,1964,138 min,"Action/Adventure: Epic, Action/Adventure: War",AmazonPrime
1365,Current Theega,2014,129 min,"Comedy: Drama, Comedy: Romance, World Cinema: Indian",AmazonPrime
1366,Action Replayy,2010,125 min,"Bollywood, Bollywood: Comedy, Bollywood: Drama, Comedy, Drama, Drama: Bollywood, Drama: Period, Drama: Romance, Sci-Fi/Fantasy, World Cinema: Indian",AmazonPrime
1367,Autograph,2010,132 min,"Drama, World Cinema: Indian",AmazonPrime
1368,Austin Powers in Goldmember,2002,94 min,"Comedy, Comedy: Crime",AmazonPrime
1369,A History of Violence,2005,95 min,"Drama: Crime, Drama: Mystery, Drama: Thriller",AmazonPrime
1370,John Q,2002,116 min,"Drama, Drama: Crime, Thriller: Drama",AmazonPrime
1371,Space Cowboys,2000,130 min,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure",AmazonPrime
1372,Chandamama kathalu,2014,134 min,"Drama: Romance, World Cinema: Indian",AmazonPrime
1373,Romeo Must Die,2000,115 min,"Action/Adventure: Crime, Action/Adventure: Martial Arts",AmazonPrime
1374,Pheka Pheki,1989,117 min,"Comedy: Drama, Drama: Comedy, World Cinema: Indian",AmazonPrime
1375,Rough,2014,145 min,"Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1376,Jhoom Barabar Jhoom,2007,131 min,"Bollywood, Bollywood: Drama, Bollywood: Romance, Drama, Drama: Bollywood, Romance, World Cinema: Indian",AmazonPrime
1377,Yeh Dillagi,1994,154 min,"Bollywood, Bollywood: Drama, Bollywood: Romance, Drama, Drama: Bollywood, Drama: Romance, Romance, World Cinema: Indian",AmazonPrime
1378,Arshinagar,2015,144 min,"Drama, Romance, World Cinema: Indian",AmazonPrime
1379,Varudu,2010,146 min,"Drama: Crime, Drama: Thriller, World Cinema: Indian",AmazonPrime
1380,Flight,2012,138 min,"Drama, Drama: Thriller",AmazonPrime
1381,LBW,2011,142 min,"Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1382,Star Trek IV: The Voyage Home,1986,118 min,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien",AmazonPrime
1383,Parbo Na Aami Chadte Toke,2015,121 min,"Drama, Romance, World Cinema: Indian",AmazonPrime
1384,Ongole Githa,2013,157 min,"Drama, Drama: Comedy, World Cinema: Indian",AmazonPrime
1385,Kaadhalan,1994,169 min,"Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1386,Namo Venkatesa,2010,151 min,"Comedy: Drama, World Cinema: Indian",AmazonPrime
1387,Loafer,1973,123 min,"Bollywood: Drama, Drama: Bollywood, Drama: Crime, Drama: Romance, World Cinema: Indian",AmazonPrime
1388,A.I. Artificial Intelligence,2001,145 min,"Drama, Sci-Fi/Fantasy, Sci-Fi/Fantasy: Sci-fi – Robots",AmazonPrime
1389,Beverly Hills Cop II,1987,102 min,"Comedy: Action/Adventure, Comedy: Crime",AmazonPrime
1390,Star Trek III: The Search for Spock,1984,105 min,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien",AmazonPrime
1391,Magic Beyond Words,2011,85 min,"Drama: Biography, World Cinema: Indian",AmazonPrime
1392,Isi Life Mein…!,2010,144 min,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",AmazonPrime
1393,Project X,1968,97 min,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure",AmazonPrime
1394,Grace Of Monaco,2014,102 min,"Drama, Drama: Biography, Drama: Historical, Drama: Political, Drama: Romance, World Cinema: Indian",AmazonPrime
1395,3000 Miles to Graceland,2001,124 min,"Action/Adventure, Comedy, Action/Adventure: Crime, Comedy: Crime",AmazonPrime
1396,Funny Face,1957,103 min,"Comedy, Comedy: Musical, Comedy: Romance, Music/Musical: Musical",AmazonPrime
1397,Kshanbhar Vishranti,2010,138 min,"Comedy: Drama, Comedy: Romance, World Cinema: Indian",AmazonPrime
1398,Chicago,2003,113 min,"Drama, Drama: Crime, Music/Musical: Music – Jazz",AmazonPrime
1399,Khaad,2014,118 min,"Drama, World Cinema: Indian",AmazonPrime
1400,The Avengers,1998,89 min,Action/Adventure: Sci-fi/Fantasy,AmazonPrime
1401,Satrangi Re,2012,150 min,"Drama: Musical, World Cinema: Indian",AmazonPrime
1402,City Of Gold,2010,144 min,"Drama: Crime, Drama: Period, World Cinema: Indian",AmazonPrime
1403,Bindaas,2014,152 min,"Comedy: Drama, Drama: Comedy, Drama: Romance, World Cinema: Indian",AmazonPrime
1404,Congo,1995,108 min,"Action/Adventure, Drama",AmazonPrime
1405,Star Trek VII: Generations,1994,117 min,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien",AmazonPrime
1406,National Lampoon’s European Vacation,1985,93 min,"Comedy: Action/Adventure, Comedy: Mature",AmazonPrime
1407,Raaz: The Mystery Continues,2009,137 min,"Bollywood: Horror, Horror: Ghosts/Supernatural, World Cinema: Indian",AmazonPrime
1408,Star Trek V: The Final Frontier,1989,106 min,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien",AmazonPrime
1409,Astitva,2000,110 min,"Drama, World Cinema: Indian",AmazonPrime
1410,Anbevaa,1966,174 min,"Drama, Drama: Comedy, Drama: Romance, World Cinema: Indian",AmazonPrime
1411,My Big Fat Greek Wedding,2002,94 min,"Comedy: Drama, Comedy: Romance",AmazonPrime
1412,Arundhati,2014,138 min,"Drama, Drama: Period, Horror, Horror: Ghosts/Supernatural, World Cinema: Indian",AmazonPrime
1413,Varsham,2004,131 min,"Romance: Action/Adventure, Romance: Drama, World Cinema: Indian",AmazonPrime
1414,Citizen,2001,172 min,"Drama: Crime, Drama: Thriller, World Cinema: Indian",AmazonPrime
1415,Jagadguru Adi Shankara,2013,128 min,"Drama: Historical, Drama: Period, Mythology, World Cinema: Indian",AmazonPrime
1416,Besh Korechi Prem Korechi,2015,143 min,"Comedy, Comedy: Action/Adventure, Romance, World Cinema: Indian",AmazonPrime
